t_s,sclk_mhz,sclk_max_mhz,busy_pct,power_w,power_cap_w,temp_c,reasons
172.27,1950,2100,100,191.79,200.00,63,
172.80,1935,2100,100,190.91,200.00,63,
173.36,1935,2100,100,189.34,200.00,63,
173.91,1950,2100,100,189.18,200.00,63,
174.47,1950,2100,100,192.03,200.00,63,
175.02,1935,2100,100,191.20,200.00,63,
175.58,1935,2100,100,189.46,200.00,63,
176.15,1935,2100,100,189.33,200.00,63,
176.71,1950,2100,100,188.85,200.00,63,
177.26,1950,2100,100,191.73,200.00,63,
177.81,1935,2100,100,191.65,200.00,63,
178.35,1935,2100,100,189.75,200.00,63,
178.89,1935,2100,100,189.41,200.00,63,
179.44,1950,2100,100,191.27,200.00,63,
180.01,1935,2100,100,191.26,200.00,63,
180.56,1935,2100,100,189.86,200.00,63,
181.13,1935,2100,100,189.76,200.00,63,
181.69,1950,2100,100,189.17,200.00,63,
182.24,1950,2100,100,191.22,200.00,63,
182.78,1935,2100,100,190.86,200.00,63,
183.33,1935,2100,100,189.41,200.00,63,
183.89,1935,2100,100,189.72,200.00,63,
184.44,1950,2100,100,191.23,200.00,63,
185.00,1935,2100,100,190.80,200.00,63,
185.55,1935,2100,100,189.25,200.00,63,
186.12,1935,2100,100,189.40,200.00,63,
186.66,1950,2100,100,189.26,200.00,63,
187.21,1950,2100,100,191.36,200.00,63,
187.76,1935,2100,100,191.28,200.00,63,
188.32,1935,2100,100,189.32,200.00,63,
188.87,1935,2100,100,189.25,200.00,63,
189.43,1950,2100,100,191.32,200.00,63,
189.98,1950,2100,100,191.90,200.00,63,
190.53,1935,2100,100,189.68,200.00,63,
191.11,1935,2100,100,189.39,200.00,63,
191.64,1935,2100,100,188.97,200.00,63,
192.20,1950,2100,100,190.81,200.00,63,
192.75,1950,2100,100,191.57,200.00,63,
193.30,1935,2100,100,189.74,200.00,63,
193.86,1935,2100,100,189.64,200.00,63,
194.42,1950,2100,100,190.80,200.00,63,
194.97,1950,2100,100,191.41,200.00,63,
195.52,1935,2100,100,189.28,200.00,63,
196.09,1935,2100,100,189.74,200.00,63,
196.63,1935,2100,100,189.35,200.00,62,
197.18,1950,2100,100,190.53,200.00,63,
197.72,1935,2100,100,191.43,200.00,63,
198.27,1935,2100,100,189.04,200.00,63,
198.83,1935,2100,100,189.30,200.00,63,
199.38,1935,2100,100,189.43,200.00,62,
199.93,1950,2100,100,191.98,200.00,63,
200.49,1935,2100,100,189.28,200.00,63,
201.02,1935,2100,100,189.34,200.00,63,
201.60,1935,2100,100,189.29,200.00,62,
202.15,1950,2100,100,190.66,200.00,63,
202.71,1935,2100,100,192.22,200.00,63,
203.26,1935,2100,100,189.53,200.00,63,
203.82,1935,2100,100,189.42,200.00,63,
204.37,1935,2100,100,189.29,200.00,62,
204.92,1950,2100,100,192.06,200.00,63,
205.48,1950,2100,100,192.06,200.00,63,
206.03,1935,2100,100,189.85,200.00,63,
206.59,1935,2100,100,189.51,200.00,62,
207.14,1950,2100,100,190.38,200.00,63,
207.68,1935,2100,100,191.98,200.00,63,
208.23,1935,2100,100,189.88,200.00,63,
208.78,1935,2100,100,189.87,200.00,63,
209.34,1935,2100,100,189.76,200.00,62,
209.89,1935,2100,100,191.97,200.00,63,
210.46,1935,2100,100,189.57,200.00,63,
211.02,1935,2100,100,189.30,200.00,63,
